attr_name,type,occurrences
ime_sk,text,1
ime_skijac,text,3
ime_solist,text,2
ime_spnzor,text,1
ime_sponzor,text,7
ime_sud,text,1
ime_sudija,text,1
ime_tim,text,16
imeclen,text,1
imed,text,1
imeg,text,1
imekonferencija,text,1
imenakarta,text,1
imenaucnik,text,1
imeoblast,text,1
imeprezime,text,1
imerecezent,text,1
imes,text,3
imeskijac,text,1
imesponzor,text,1
imetim,text,3
imeto_na_kartata,text,1
individualci,integer,1
individualec_id,integer,2
individualec_id_1,integer,2
individualec_ime,text,3
individualec_prezime,text,2
individualen_ime,text,1
individuali,integer,1
ine,text,1
inf_baza,text,2
inf_baza_1,text,1
info_baza,text,1
inznos,numeric,1
iskus,text,1
iskustvo,text,54
iskustvo_1,text,1
iskustvo_god,integer,1
iskustvo_godini,integer,2
iskustvo_vo_godini,integer,1
iskustvogod,integer,1
istrcano_vreme,text,1
izdanie_datum_pocetok,date,2
izdanie_festival_ime,text,3
izdanie_festival_poceten_datum,date,1
izdanie_id,integer,2
izdanie_ime,text,28
izdanie_kraen_datum,date,8
izdanie_na_festival_ime,text,5
izdanie_opis,text,2
izdanie_poceten_datum,date,6
izdanie_pocetendatum,date,2
izdanie_pocheten_datum,date,2
izdanie_sifra,integer,3
izdanije_pocetok,date,1
iznajmica_id,integer,1
iznajmica_shifra,integer,1
iznajmuvanje_shifra,integer,1
iznos,numeric,61
iznos_1,numeric,3
iznos_na_poddrshkata,numeric,1
iznos_na_poddrska,numeric,2
iznos_na_podrshka,numeric,1
iznos_poddrska,numeric,4
iznos_podrska,numeric,1
iznos_sponzor,numeric,1
iznos_sponzorstva,numeric,1
iznos_sponzorstvo,numeric,2
iznossponzorstvo,numeric,1
iznoz,numeric,1
izvduvac_ime,text,1
izveduvac_artistickoime,text,3
izveduvac_artistickoime_1,text,1
izveduvac_biografija,text,6
izveduvac_biografija_1,text,2
izveduvac_embg,text,3
izveduvac_embg_1,text,1
izveduvac_id,integer,6
izveduvac_id_1,integer,1
izveduvac_ime,text,61
izveduvac_ime_1,text,16
izveduvac_ime_2,text,1
izveduvac_ime_3,text,1
izveduvach_ime,text,12
izveduvach_ime_1,text,2
izveduvach_umetnichko_ime,text,3
izveduvach_umetnichko_ime_1,text,1
izveduvachi_ime,text,2
izveduvachi_ime_1,text,2
izveduvaci_ime,text,3
izveduvanje,text,1
izveshtaj,text,2
izvestai,text,7
izvestaj,text,7
izvestaji,text,4
izvestaji_1,text,2
izvlecen_skiac,text,1
izvlecen_skijac,text,12
izvlecen_skijac_1,text,1
izvlecenskijac,text,1
izvlechen_skijach,text,3
jazici,text,1
k_datum,date,1
kaj,text,1
kapacitet,numeric,77
kapacitet_1,numeric,1
kapaicitet,numeric,1
karta_id,integer,1
karta_ime,text,1
karta_shifra,integer,3
karta_sifra,integer,3
karta_skijanje,text,1
karta_skijanje_sifra,integer,1
karta_za_skijanje,integer,2
karta_za_skijanje_sifra,integer,1
karta_za_skijanje_шифрата,integer,1
karti_za_skijanje_shifra,integer,1
karti_za_skijanje_skipass_sifra,integer,1
kilometri,numeric,1
km,numeric,4
kod,integer,42
kod_1,integer,3
kod_procedura,integer,5
kod_vozilo,integer,1
kodproceduri,integer,1
kodvozilo,integer,1
koferencija_id_konferencija,integer,3
koferencija_id_konferencija_1,integer,1
kompanija_ime,text,73
kompanija_ime_1,text,6
kompanija_koppanija_id,integer,2
kompanija_u_ime,text,3
kompanija_uime,text,2
kompanija_za_skijacka_oprema_ime,text,2
kompanja_ime,text,2
konf_kraj,date,1
konf_pocetok,date,1
konferencija_id,integer,12
konferencija_id_1,integer,3
konferencija_id_konferencija,integer,1
konferencija_ime,text,45
konferencija_ime_1,text,10
konferencija_imekonferencija,text,3
konferencija_imekonferencija_1,text,1
konferencijaodrzana_id,integer,2
konferncii_ime,text,1
konferncii_ime_1,text,1
konfernecija_ime,text,3
kontakt,text,48
koppanija_id,integer,1
kr_opis,text,1
kraen,date,6
kraen_1,date,2
kraen_d,date,3
kraen_dat,date,2
kraen_datum,date,72
kraen_datum_1,date,2
kraen_nbsp_datum,date,2
kraend,date,1
kraendatum,date,8
kraendatum_1,date,3
kraj,date,28
kraj_1,date,1
kraj_data,date,1
kraj_datum,date,2
krajen_datum,date,1
krajnovreme,text,1
kratok_opis,text,9
kratokopis,text,1
kreaj,text,1
kupola,text,1
kрај,date,1
l_name,text,3
last_name,text,3
length,numeric,3
level,text,1
licenca,text,4
licencaid,text,1
license_num,text,1
lista_na_treneri,text,4
lista_treneri,text,4
location,text,7
lokaci,text,1
lokacii,text,69
lokacija,text,132
lokacija_1,text,3
lookacija,text,1
m_name,text,1
machine_id,integer,1
mail,text,2
maratom_ime,text,1
maratom_ime_1,text,1
maraton_godisno_ime,text,4
maraton_id,integer,3
maraton_id_1,integer,1
maraton_ime,text,62
maraton_ime_1,text,23
maraton_m_name,text,1
maraton_maraton_id,integer,2
maraton_maraton_id_1,integer,1
maraton_odrzuvanje_ime,text,1
mashina_shifra,integer,4
mashini_shifra,integer,2
masina_cifra,integer,1
masina_shifra,integer,3
masina_sifra,integer,5
mbr,text,6
med_edinica_id,integer,1
med_edinica_med_id,integer,1
med_id,integer,2
med_licenca,text,1
med_licenca_br,text,2
med_licenca_br_1,text,1
medicinsdka_edinica_id,integer,1
medicinska_edinica_br_licenca,text,1
medicinska_edinica_br_med_licenca,text,3
medicinska_edinica_broj_licenca,integer,5
medicinska_edinica_broj_med_licenca,text,2
medicinska_edinica_id,integer,5
medicinska_edinica_id_1,integer,3
medicinska_edinica_id_2,integer,3
medicinska_edinica_id_3,integer,3
medicinska_edinica_id_4,integer,2
medicinska_edinica_id_5,integer,2
medicinska_edinica_id_6,integer,2
medicinska_edinica_id_7,integer,1
medicinska_edinica_id_clen,integer,1
medicinska_edinica_id_licenca,text,3
medicinska_edinica_ime,text,3
medicinska_edinica_ime_1,text,2
medicinska_edinica_kod,integer,3
medicinska_edinica_kod_1,integer,3
medicinska_edinica_kod_2,integer,3
medicinska_edinica_kod_3,integer,2
medicinska_edinica_kod_4,integer,1
medicinska_licencaid,text,1
medicinska_procedura_kod_procedura,integer,1
medicinskaedinica_brojmed_licenca,text,3
medicinskaedinica_id_broj,integer,1
medicinskaedinica_medlicenca,text,1
medicinskedinica_brlicenca,text,1
medicinskedinica_idclen,integer,1
medicinski_proceduri_kod,integer,1
mediciska_edinica_brojid,integer,1
mediciska_edinica_id,integer,1
medlicenca,text,1
member_id,integer,1
memberid,integer,1
model,text,26
model_mashina,text,1
modelot,text,1
mom_debelina,numeric,1
momentalna_debelina,numeric,1
momentalndebelina,numeric,1
mora,text,1
mora_1,text,1
nacinonalnost,text,1
nacionalen_tim,text,2
nacionalen_tim_id_tim,integer,2
nacionalen_tim_shifra,integer,6
nacionalen_tim_sifra,integer,2
nacionalentim_shifra,integer,2
nacionalni_timovi_shifra,integer,1
nacionalni_timovi_sifra,integer,3
nacionalnost,text,20
nacionalnsot,text,1
nadgraden_fond,numeric,1
nag_fond,numeric,1
nagrada,numeric,1
nagraden_fond,numeric,21
nagraden_font,numeric,4
nagradenfond,numeric,3
name,text,14
name_1,text,1
name_of_giveaway,text,1
name_of_the_pass,text,1
naptrevar_ime,text,2
naslov,text,18
naslov_1,text,1
naslov_trud,text,4
naslovtrud,text,2
natid,integer,1
national_team_nt_id,integer,2
nationality,text,1
natprevar_id,integer,12
natprevar_id_1,integer,2
natprevar_ime,text,31
natprevar_ime_1,text,12
natprevar_ime_n,text,2
natprevar_ime_n_1,text,1
natprevar_lokacija,text,2
natprevar_natprevar_id,integer,3
natprevar_natprevar_id_1,integer,1
nauchnik_embg,text,2
nauchnik_ime,text,4
nauchnik_nauchno_zvanje,text,2
nauchnik_prezime,text,2
nauchnik_zvanje,text,2
nauchno_zvanje,text,4
naucnik_embg,text,2
naucnik_id,integer,7
naucnik_id_naucnik,integer,3
naucnik_ime,text,6
naucnik_imenaucnik,text,2
naucnik_mbr,text,2
naucnik_naucno_zvanje,text,9
naucnik_naucno_zvanje_1,text,1
naucnik_prezime,text,2
naucnik_prezimenaucnik,text,2
naucnik_shifra,integer,2
naucno_znaenje,text,3
naucno_zvanje,text,15
naucnozvanje,text,4
naznachen_datum,date,1
nbsp_pocheten_datum,date,1
nbsp_ski_lift_id,integer,4
nbsp_ski_lift_id_1,integer,1
nbsp_денови_на_валидност,integer,1
nbsp_маратон_име,text,1
nbsp_ниво_на_сертификација,text,1
nivo,text,14
nivo_1,text,3
nivo_2,text,2
nivo_na_podgotvenost,text,2
nivo_na_rizik,text,4
nivo_narizik,text,1
nivo_p,text,1
nivo_podgotvenost,text,13
nivo_rizik,text,13
nivopodgotvenost,text,2
nivorizik,text,1
no__of_citations,integer,1
nt_id,integer,1
oblast,text,9
oblast_id,integer,5
oblast_id_oblast,integer,3
oblast_ime,text,40
oblast_ime_1,text,1
oblast_imeoblast,text,3
oblast_oblast_id,integer,1
oblast_spec,text,3
oblast_spec_1,text,1
oblastspec,text,1
obuvki,integer,1
ocenuvanje_poeni,numeric,1
od,text,5
odbien,text,1
oddr_id,integer,1
oddrzan_maraton_ime,text,2
oddrzan_maraton_ime_1,text,1
oddrzan_natprevar_ime,text,2
oddrzhan_festival_ime,text,2
oddrzhan_festival_pocheten_datum,date,2
oddrzhuvanje_datum,date,1
oddrzhuvanje_debelina_sneg,numeric,1
oddrzhuvanje_ime,text,1
odrz_maraton_ime,text,2
odrzan_festival_ime,text,6
odrzan_maraton_datum_kraj,date,3
odrzan_maraton_datum_od,date,3
odrzan_maraton_datum_pocetok,date,3
odrzan_maraton_ime,text,30
odrzan_maraton_kraen_datum,date,3
odrzan_maraton_poceten_datum,date,3
odrzan_maraton_pocetok,date,2
odrzan_natp_id,integer,1
odrzan_natprevar_dat_pocetok,date,2
odrzan_natprevar_datum,date,3
odrzan_natprevar_datum_kraj,date,2
odrzan_natprevar_datum_pocetok,date,2
odrzan_natprevar_id,integer,4
odrzan_natprevar_ime,text,21
odrzan_natprevar_ime_n,text,2
odrzan_natprevar_kraj,date,2
odrzan_natprevar_odrzan_natp_id,integer,1
odrzana_konf_ime,text,1
odrzana_konferencija_datum_pocetok,date,2
odrzana_konferencija_id,integer,2
odrzana_konferencija_ime,text,10
odrzana_nbsp_konferencija_datum_pocetok,date,2
odrzana_nbsp_konferencija_id_konferencija,integer,2
odrzanak_imekonferencija,text,2
odrzanakonferencija_ime,text,2
odrzanakonferencija_lokacija,text,2
odrzanakonferencija_oblast,text,2
odrzanmaraton_ime,text,4
odrzanmaraton_pocetendatum,date,2
odrzannatprevar_ime,text,2
odrzano_izdanie_godina,integer,2
odrzano_izdanie_ime,text,2
odrzano_izdanie_name,text,2
odrzhan_festival_ime,text,3
odrzhan_maraton_ime,text,2
odrzhan_natp_id,integer,1
odrzhan_natprevar_datum_pocetok,date,2
odrzhan_natprevar_ime,text,2
odrzhan_natprevar_odrzhan_natp_id,integer,2
odrzhana_konferencija_ime,text,4
odrzhannatprevar_natprevar_id,integer,2
odrzhannatprevar_pocetok_data,date,2
odrzhuvanje_maraton_ime,text,3
odrzuvanje,text,1
odrzuvanje_ime,text,2
odrzuvanje_maraton_ime,text,5
odrzuvanje_na_maraton_ime,text,1
odrzuvanjemaraton_ime,text,1
oganizator,text,1
opis,text,33
oprema_shifra,integer,7
oprema_sifra,integer,4
organizator,text,58
osnovana,integer,1
ostaven_depozit,numeric,4
ostavendepozit,numeric,1
ostvaten_depozit,numeric,1
osvoeni_poeni,numeric,12
osvoile_poeni,numeric,1
pateka_ime,text,5
pateka_ime_1,text,2
patka_ime,text,1
pediod,text,1
per_konf_ime,text,2
period,text,22
period_iznajmuvanje,text,8
period_na_iznajmuvanje,text,4
period_od,text,2
periodnaiznaj,text,1
peroid_iznajmuvanje,text,1
platena,text,1
pobednici_izvlecen_skijac,text,1
pobednici_izvlecenskijac,text,1
pobednici_sifra,integer,1
pobednik_id,integer,1
pobednik_ime,text,1
pobednik_karta_za_skijanje,integer,1
pobednik_pobednik_id,integer,1
pobednik_shifra,integer,1
pobednik_skijach,text,2
pobednik_извлечениот_скијач,text,2
poceten,date,5
poceten_d,date,3
poceten_dat,date,2
poceten_datm,date,1
poceten_datum,date,61
poceten_datum_1,date,4
poceten_nbsp_datum,date,1
pocetend,date,1
pocetendatum,date,8
pocetendatum_1,date,3
pocetok,date,28
pocetok_data,date,1
pocetok_datum,date,2
pocheten_datum,date,10
pochetendatum,date,1
pochetok,text,4
pochetok_1,date,1
pocten_datum,date,1
podgotvenost,text,4
poedinecno_spustanje_reden_broj,integer,3
poeni,numeric,44
poeni_g_lista,numeric,1
poeni_gen,numeric,2
poeni_gen_list,numeric,1
poeni_generalna_lista,numeric,1
poeni_osvoeni,numeric,1
poeni_rang,numeric,1
poeni_rang_lista,numeric,3
poeni_vo_rang_lista,numeric,1
poenig,numeric,1
poenigeneralna,numeric,1
poenigeneralnalista,numeric,1
points,numeric,1
pokrivatel_sifra,integer,2
pokrivitel_sifra,integer,1
pokrotivtel_sifra,integer,1
pokrovitel_id,integer,1
pokrovitel_na_izdanie_sifra,integer,1
pokrovitel_shifra,integer,15
pokrovitel_sifra,integer,12
pokroviteli_shifra,integer,1
pokroviteli_sifra,integer,1
pol,text,1
ponei,numeric,1
porta,integer,1
posta,text,2
poteklo,text,2
potrebni_rekviziti,text,4
potrebno_vreme,text,4
potrenbno_vreme,text,1
pozicija,integer,8
pozicija_na_koja_zavrshile,integer,1
pozicijarang,integer,1
preime,text,1
preizme,text,1
preparedness,text,1
prerequisite,text,1
prez,text,2
prezime,text,215
prezime_1,text,1
prezime_2,text,1
prezime_sk,text,1
prezime_solist,text,1
prezime_sud,text,1
prezimenaucnik,text,1
prezimerecezent,text,1
prezimes,text,1
price,numeric,1
prifaten,text,2
prize_fund,numeric,1
procedura_id,integer,1
proverka_id,integer,1
proverka_id_1,integer,1
proverki_id_proverka,integer,2
przime,text,1
r_embg,text,1
r_name,text,1
r_shifra,integer,1
rab_iskustvo,text,1
raganje,date,1
raganje_dat,date,2
ragjanje,text,1
ralika,numeric,1
rang,integer,6
rang_pos,integer,1
rang_poz,integer,4
rang_pozicija,integer,9
rang_pozicija_1,integer,1
rangpozicija,integer,1
rank_pos,integer,1
rating,numeric,1
razlika,numeric,2
readiness_level,text,1
recenzent_id,integer,1
recenzent_id_recenzent,integer,1
recenzent_ime,text,9
recenzent_mbr,text,2
recenzent_prezime,text,6
recenzent_r_embg,text,2
recenzent_shifra,integer,1
recenzent_specijalizacija,text,1
recezent,text,1
recezent_embg,text,2
recezent_id,integer,1
recezent_id_recezent,integer,1
recezent_ime,text,1
recezent_imerecezent,text,1
recezent_oblast,text,1
recezent_prezimerecezent,text,1
red_broj,integer,2
reden_br,integer,2
reden_broj,integer,13
redenbr,integer,1
redenbroj,integer,1
redenid,integer,1
referee_name,text,1
